PROJETO;MÊS;DIA;HORA TRABALHADA;OBS;DESCRIÇÃO DAS TAREFAS
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;01/11/2024;0h;;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;04/11/2024;0h;;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;05/11/2024;0h;;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;06/11/2024;0h;;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;07/11/2024;8h;PROJETO INICIADO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;08/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;11/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;12/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;13/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;14/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;15/11/2024;0h;NÃO ATUEI NESTE PROJETO, POIS ERA FERIADO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;18/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;19/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;20/11/2024;0h;NÃO ATUEI NESTE PROJETO, POIS ERA FERIADO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;21/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;22/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;25/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;26/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;27/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;28/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;NOVEMBRO;29/11/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;02/12/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;03/12/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;04/12/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;05/12/2024;8h;HOMOLOGAÇÃO REALIZADA;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;06/12/2024;8h;EM DESENVOLVIMENTO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;09/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;10/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
POSIÇÕES DE CONTAS BANCÁRIAS;DEZEMBRO;11/12/2024;0h;ESTIVE DE FÉRIAS, A DEMANDA FOI REPASSADA PARA EVANDRO;
